"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"21073","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21074","Zero","1","0","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"21075","Zero","1","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21076","Zero","1","0","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"21077","Zero","1","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21078","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21079","Zero","1","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"21080","Sixth","0","1","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21081","Zero","1","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"21082","Zero","1","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21083","Sixth","0","1","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21084","Zero","1","0","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"21085","Zero","1","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21086","Zero","1","0","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21087","Zero","2","0","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"21088","Fifth","3","1","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE"
"21089","Zero","2","0","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"21090","Sixth","0","1","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21091","Zero","1","0","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21092","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21093","Zero","2","0","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"21094","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21095","Zero","1","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21096","Zero","1","0","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"21097","Zero","1","0","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21098","Zero","1","0","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"21099","Zero","1","0","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"21100","Zero","2","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE"
